商品名称,商品描述,商品图片,起拍价,最低加价,封顶价,竞拍时长秒,库存,商品卖点,讲解关键词
水蓝蓝,洛克王国世界黑白炫彩成交榜第1名，最新成交平均参考价3194，适合直播竞拍展示。,/static/products/shuilanlan.jpg,2230,100,3194,90,1,榜单第1名，参考价3194，黑白炫彩热门精灵,御三家、水系、Q萌外观、魔攻宠、黑白炫彩榜首
厉毒修萝,洛克王国世界黑白炫彩成交榜第2名，最新成交平均参考价3000，适合直播竞拍展示。,/static/products/liduxiuluo.jpg,2100,100,3000,90,1,榜单第2名，参考价3000，黑白炫彩热门精灵,毒系核心、剧毒棘刺、暗处狩猎、持续毒伤、高价热门
炽心勇狮,洛克王国世界黑白炫彩成交榜第3名，最新成交平均参考价2944，适合直播竞拍展示。,/static/products/chixin-yongshi.jpg,2060,100,2944,90,1,榜单第3名，参考价2944，黑白炫彩热门精灵,火系爆发、勇狮造型、核心输出、热血战斗、黑白炫彩
罗隐,洛克王国世界黑白炫彩成交榜第4名，最新成交平均参考价2750，适合直播竞拍展示。,/static/products/luoyin.jpg,1920,100,2750,90,1,榜单第4名，参考价2750，黑白炫彩热门精灵,经典老牌、岩土风格、稳重防守、怀旧人气、榜单高位
寂灭骨龙,洛克王国世界黑白炫彩成交榜第5名，最新成交平均参考价2670，适合直播竞拍展示。,/static/products/jimie-gulong.jpg,1860,100,2670,90,1,榜单第5名，参考价2670，黑白炫彩热门精灵,骨龙造型、龙系压迫感、寂灭主题、阵容核心、稀有外观
魔力猫,洛克王国世界黑白炫彩成交榜第6名，最新成交平均参考价2664，适合直播竞拍展示。,,1860,100,2664,90,1,榜单第6名，参考价2664，黑白炫彩热门精灵,御三家、草系代表、多线进化、新手回忆、策略持久战
火神,洛克王国世界黑白炫彩成交榜第7名，最新成交平均参考价2533，适合直播竞拍展示。,,1770,100,2533,90,1,榜单第7名，参考价2533，黑白炫彩热门精灵,御三家进化、火系经典、爆发输出、烈焰主题、情怀热门
烈火守护,洛克王国世界黑白炫彩成交榜第8名，最新成交平均参考价2400，适合直播竞拍展示。,,1680,50,2400,90,1,榜单第8名，参考价2400，黑白炫彩热门精灵,火系守护、防御承伤、队伍保护、烈焰外观、稳定人气
火焰猿,洛克王国世界黑白炫彩成交榜第9名，最新成交平均参考价2200，适合直播竞拍展示。,,1540,50,2200,90,1,榜单第9名，参考价2200，黑白炫彩热门精灵,火系灵动、猿猴造型、速度压制、爆发节奏、直播抢拍
白金独角兽,洛克王国世界黑白炫彩成交榜第10名，最新成交平均参考价2194，适合直播竞拍展示。,,1530,50,2194,90,1,榜单第10名，参考价2194，黑白炫彩热门精灵,独角兽造型、白金质感、稀有收藏、优雅外观、高关注度
